NA-1,Chitral,KP,Molana Abdul Akbar Chitrali,MMA,324
NA-1,Chitral,KP,Iftikhar ud Din,PML-N,98
NA-1,Chitral,KP,Saleem Khan,PPP,43
NA-2,Swat,KP,Haider Ali Khan,PTI,23277
NA-2,Swat,KP,Amir Muqam,PML-N,12700
NA-2,Swat,KP,Naveed Iqbal,MMA,420
NA-2,Swat,KP,Mumtaz Ahmad,ANP,166
NA-2,Swat,KP,Amjad Ali Khan,PPPP,79
NA-3,Swat,KP,Saleem Rehman,PTI,5127
NA-3,Swat,KP,Abdul Karim Khan,ANP,2120
NA-3,Swat,KP,Shahryar Amirzeb,PPPP,439
NA-4,Swat,KP,Murad Saeed,PTI,434
NA-4,Swat,KP,Saleem Khan,ANP,198
NA-5,Upper Dir,KP,Sahibzada Sibghatullah,PTI,7272
NA-5,Upper Dir,KP,Sahibzada Tariqullah,MMA,4623
NA-5,Upper Dir,KP,Najmuddin Khan,PPPP,866
NA-6,Lower Dir,KP,Mehboob Shah,PTI,1739
NA-6,Lower Dir,KP,Molana Asadullah,MMA,863
NA-6,Lower Dir,KP,Ahmad Hassan,PPPP,240
NA-6,Lower Dir,KP,Muhammad Zahid Khan,ANP,225
NA-7,Lower Dir,KP,Muhammad Bashir Khan,PTI,11385
NA-7,Lower Dir,KP,Siraj Ul Haq,MMA,6936
NA-7,Lower Dir,KP,Syed Shahid Ahmad Jan,PPPP,313
NA-8,Malakand,KP,Junaid Akbar,PTI,3779
NA-8,Malakand,KP,Bilawal Bhutto Zardari,PPPP,1293
NA-10,Shangla,KP,Ibadullah Khan,PML-N,2180
NA-10,Shangla,KP,Sadeed ur Rehman,ANP,2095
NA-10,Shangla,KP,Waqar Ahmad khan,PTI,61
NA-11,Kohistan,KP,Dost Muhammad Shakir,IND,159
NA-11,Kohistan,KP,Mehboob Ullah Jaan,PML,99
NA-11,Kohistan,KP,Afreen Khan,MMA,3
NA-13,Mansehra,KP,Saleh Muhammad,IND,4509
NA-13,Mansehra,KP,Shah Jahan Yousuf,PML-N,2363
NA-14,Mansehra,KP,Muhammad Sajjad,IND,2082
NA-14,Mansehra,KP,Zar Gul Khan,PTI,1699
NA-14,Mansehra,KP,Mufti Kifayatullah,MMA,360
NA-15,Abbottabad,KP,Murtaza Javed Abbasi,PML-N,14855
NA-15,Abbottabad,KP,Ali Asghar Khan,PTI,12500
NA-15,Abbottabad,KP,Sardar Muhammad Yaqoob,IND,14
NA-16,Abbottabad,KP,Ali Khan Jadoon,PTI,1765
NA-16,Abbottabad,KP,Malik Mohbbat Awan,PML-N,1308
NA-17,Haripur,KP,Omar Ayub,PTI,46733
NA-17,Haripur,KP,Babar Nawaz Khan,PML-N,30705
NA-18,Swabi,KP,Asad Qaiser,PTI,1964
NA-18,Swabi,KP,Muhammad Islam Khan,ANP,926
NA-18,Swabi,KP,Fazal ALi,MMA,93
NA-19,Swabi,KP,Eng.Usman Khan Trakai,PTI,10169
NA-19,Swabi,KP,Waris Khan,ANP,6389
NA-20,Mardan,KP,Mujahid Ali,PTI,408
NA-20,Mardan,KP,Gul Nawaz Khan,ANP,103
NA-21,Mardan,KP,Ameer Haider Khan Hoti,ANP,1176
